field,value,notes
model_name,iCHO3K production generic unblocked,Local iCHO3K model selected for antibody-producing CHO workflow
model_path,models\iCHO3K\Model\iCHO3K_cho_prod_generic_unblocked.json,Use JSON with COBRApy read_json_model
model_id,iCHO3K,Parsed from JSON
model_version,1,Parsed from JSON
n_reactions,8368,Parsed locally
n_metabolites,4695,Parsed locally
n_genes,2929,Parsed locally
n_exchange_like_reactions,710,Parsed locally
recommended_growth_objective,biomass_cho_prod,CHO producing cell biomass reaction
recommended_product_objective,DM_igg_g,IgG demand reaction
product_assembly_reaction,igg_formation,Forms glycosylated IgG in Golgi
heavy_chain_reaction,igg_hc,IgG heavy chain synthesis reaction
light_chain_reaction,igg_lc,IgG light chain synthesis reaction
python_environment,models\iCHO3K\env\environment.yml,Use to create conda/mamba environment with cobra and swiglpk
