priority,category,metabolite,recommended_matrix,measurement_type,why_it_matters,multiomics_link
Required,Process,VCD,culture,cell count,Normalizes uptake/secretion rates,biomass/growth constraint
Required,Process,viability,culture,percentage,Separates productive metabolism from death/lysis,quality/QC covariate
Required,Process,titer,culture,mg/L,Defines antibody production phenotype,antibody secretion objective/qP
Required,Carbon,glucose,spent_media,concentration,Main carbon source,glucose exchange flux
Required,Overflow,lactate,spent_media,concentration,Glycolytic overflow and lactate switch,lactate exchange flux
Required,Nitrogen,ammonia,spent_media,concentration,Nitrogen waste and toxicity,ammonia exchange flux
Required,Amino acid,glutamine,spent_media,concentration,Major nitrogen/carbon source,glutamine exchange/anaplerosis
Required,Amino acid,glutamate,spent_media,concentration,TCA anaplerosis/nitrogen balance,glutamate exchange and transamination
Required,Amino acid,alanine,spent_media,concentration,Pyruvate/nitrogen overflow,alanine exchange and transamination
Recommended,Amino acid,asparagine,spent_media,concentration,Alternative anaplerotic nitrogen source,asparagine exchange
Recommended,Amino acid,aspartate,spent_media,concentration,TCA/nucleotide precursor,aspartate exchange and GOT reactions
Recommended,Amino acid,arginine,spent_media,concentration,Protein synthesis and urea-related nitrogen,arginine exchange
Recommended,Amino acid,serine,spent_media,concentration,One-carbon and nucleotide metabolism,serine/glycine one-carbon reactions
Recommended,Amino acid,glycine,spent_media,concentration,One-carbon and glutathione precursor,glycine exchange
Recommended,Amino acid,cysteine_cystine,spent_media,concentration,Glutathione/redox and folding stress,cysteine exchange/GSH synthesis
Recommended,Amino acid,methionine,spent_media,concentration,Methylation and sulfur metabolism,methionine/SAM reactions
Recommended,Amino acid,leucine,spent_media,concentration,BCAA metabolism and growth state,leucine exchange
Recommended,Amino acid,isoleucine,spent_media,concentration,BCAA metabolism and growth state,isoleucine exchange
Recommended,Amino acid,valine,spent_media,concentration,BCAA metabolism and growth state,valine exchange
Recommended,Amino acid,lysine,spent_media,concentration,Protein synthesis demand,lysine exchange
Recommended,Amino acid,histidine,spent_media,concentration,Protein synthesis and media depletion,histidine exchange
Recommended,Amino acid,phenylalanine,spent_media,concentration,Aromatic AA depletion,phenylalanine exchange
Recommended,Amino acid,tyrosine,spent_media,concentration,Aromatic AA depletion and feed solubility,tyrosine exchange
Recommended,Amino acid,tryptophan,spent_media,concentration,Aromatic AA and inhibitory byproducts,tryptophan exchange
Recommended,Amino acid,proline,spent_media,concentration,Protein synthesis and stress adaptation,proline exchange
Recommended,Amino acid,threonine,spent_media,concentration,Protein synthesis and glycine/one-carbon link,threonine exchange
Recommended,Central carbon,pyruvate,spent_media,concentration,Glycolysis/TCA entry,pyruvate exchange
Recommended,TCA,citrate,spent_media_or_intracellular,concentration,TCA state marker,citrate transport/TCA flux
Optional,Redox,GSH,intracellular,concentration,Folding stress and antioxidant capacity,GSH synthesis/recycling
Optional,Redox,GSSG,intracellular,concentration,Oxidative stress,GSH/GSSG redox reactions
Optional,Redox,NADPH,intracellular,concentration,Reductive biosynthesis and redox,PPP and malic enzyme reactions
Optional,Energy,ATP,intracellular,concentration,Energy state,ATP maintenance/objective constraints
Optional,Glycosylation,UDP-GlcNAc,intracellular,concentration,N-glycan precursor,hexosamine pathway/glycosylation
Optional,Glycosylation,UDP-Gal,intracellular,concentration,Galactosylation precursor,nucleotide sugar metabolism
Optional,Glycosylation,GDP-fucose,intracellular,concentration,Fucosylation precursor,nucleotide sugar metabolism
Optional,Glycosylation,CMP-sialic_acid,intracellular,concentration,Sialylation precursor,nucleotide sugar metabolism
