metabolite,standard_name,hmdb_id,kegg_id,bigg_metabolite_id,model_exchange_reaction_id,sign_convention,unit,input_column,notes,icho3k_reaction_name,icho3k_metabolites,icho3k_default_lb,icho3k_default_ub,model_source
glucose,D-Glucose,HMDB0000122,C00031,glc__D,EX_glc_e,uptake_negative,mmol/L/day,Glucose,Verified against local iCHO3K production generic model; confirm units/sign before FBA,D-Glucose exchange,{'glc_D_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
lactate,L-Lactate,HMDB0000190,C00186,lac__L,EX_lac_L_e,secretion_positive,mmol/L/day,lactate,Verified against local iCHO3K production generic model; confirm units/sign before FBA,L-Lactate exchange,{'lac_L_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
ammonia,Ammonia,HMDB0000051,C00014,nh4,EX_nh4_e,secretion_positive,mmol/L/day,ammonia,Verified against local iCHO3K production generic model; confirm units/sign before FBA,Ammonia exchange,{'nh4_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
glutamine,L-Glutamine,HMDB0000641,C00064,gln__L,EX_gln_L_e,uptake_negative,mmol/L/day,glutamine,Verified against local iCHO3K production generic model; confirm units/sign before FBA,exchange reaction for L-glutamine,{'gln_L_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
glutamate,L-Glutamate,HMDB0000148,C00025,glu__L,EX_glu_L_e,mixed,mmol/L/day,glutamate,Verified against local iCHO3K production generic model; confirm units/sign before FBA,L-Glutamate exchange,{'glu_L_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
alanine,L-Alanine,HMDB0000161,C00041,ala__L,EX_ala_L_e,mixed,mmol/L/day,alanine,Verified against local iCHO3K production generic model; confirm units/sign before FBA,exchange reaction for L-alanine,{'ala_L_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
asparagine,L-Asparagine,HMDB0000168,C00152,asn__L,EX_asn_L_e,uptake_negative,mmol/L/day,asparagine,Verified against local iCHO3K production generic model; confirm units/sign before FBA,exchange reaction for L-asparagine,{'asn_L_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
aspartate,L-Aspartate,HMDB0000191,C00049,asp__L,EX_asp_L_e,mixed,mmol/L/day,aspartate,Verified against local iCHO3K production generic model; confirm units/sign before FBA,L-Aspartate exchange,{'asp_L_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
arginine,L-Arginine,HMDB0000517,C00062,arg__L,EX_arg_L_e,uptake_negative,mmol/L/day,arginine,Verified against local iCHO3K production generic model; confirm units/sign before FBA,L-Arginine exchange,{'arg_L_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
serine,L-Serine,HMDB0000187,C00065,ser__L,EX_ser_L_e,uptake_negative,mmol/L/day,serine,Verified against local iCHO3K production generic model; confirm units/sign before FBA,exchange reaction for L-serine,{'ser_L_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
glycine,Glycine,HMDB0000123,C00037,gly,EX_gly_e,mixed,mmol/L/day,glycine,Verified against local iCHO3K production generic model; confirm units/sign before FBA,exchange reaction for Glycine,{'gly_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
cysteine,L-Cysteine,HMDB0000574,C00097,cys__L,EX_cys_L_e,uptake_negative,mmol/L/day,cysteine,Verified against local iCHO3K production generic model; confirm units/sign before FBA,exchange reaction for L-cysteine,{'cys_L_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
methionine,L-Methionine,HMDB0000696,C00073,met__L,EX_met_L_e,uptake_negative,mmol/L/day,methionine,Verified against local iCHO3K production generic model; confirm units/sign before FBA,L-Methionine exchange,{'met_L_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
leucine,L-Leucine,HMDB0000687,C00123,leu__L,EX_leu_L_e,uptake_negative,mmol/L/day,leucine,Verified against local iCHO3K production generic model; confirm units/sign before FBA,L-Leucine exchange,{'leu_L_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
isoleucine,L-Isoleucine,HMDB0000172,C00407,ile__L,EX_ile_L_e,uptake_negative,mmol/L/day,isoleucine,Verified against local iCHO3K production generic model; confirm units/sign before FBA,L-Isoleucine exchange,{'ile_L_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
valine,L-Valine,HMDB0000883,C00183,val__L,EX_val_L_e,uptake_negative,mmol/L/day,valine,Verified against local iCHO3K production generic model; confirm units/sign before FBA,L-Valine exchange,{'val_L_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
lysine,L-Lysine,HMDB0000182,C00047,lys__L,EX_lys_L_e,uptake_negative,mmol/L/day,lysine,Verified against local iCHO3K production generic model; confirm units/sign before FBA,L-Lysine exchange,{'lys_L_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
histidine,L-Histidine,HMDB0000177,C00135,his__L,EX_his_L_e,uptake_negative,mmol/L/day,histidine,Verified against local iCHO3K production generic model; confirm units/sign before FBA,exchange reaction for L-histidine,{'his_L_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
phenylalanine,L-Phenylalanine,HMDB0000159,C00079,phe__L,EX_phe_L_e,uptake_negative,mmol/L/day,phenylalanine,Verified against local iCHO3K production generic model; confirm units/sign before FBA,exchange reaction for L-phenylalanine,{'phe_L_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
tyrosine,L-Tyrosine,HMDB0000158,C00082,tyr__L,EX_tyr_L_e,uptake_negative,mmol/L/day,tyrosine,Verified against local iCHO3K production generic model; confirm units/sign before FBA,L-Tyrosine exchange,{'tyr_L_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
tryptophan,L-Tryptophan,HMDB0000929,C00078,trp__L,EX_trp_L_e,uptake_negative,mmol/L/day,tryptophan,Verified against local iCHO3K production generic model; confirm units/sign before FBA,L-Tryptophan exchange,{'trp_L_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
proline,L-Proline,HMDB0000162,C00148,pro__L,EX_pro_L_e,uptake_negative,mmol/L/day,proline,Verified against local iCHO3K production generic model; confirm units/sign before FBA,L-Proline exchange,{'pro_L_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
threonine,L-Threonine,HMDB0000167,C00188,thr__L,EX_thr_L_e,uptake_negative,mmol/L/day,threonine,Verified against local iCHO3K production generic model; confirm units/sign before FBA,L-Threonine exchange,{'thr_L_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
pyruvate,Pyruvate,HMDB0000243,C00022,pyr,EX_pyr_e,mixed,mmol/L/day,pyruvate,Verified against local iCHO3K production generic model; confirm units/sign before FBA,Pyruvate exchange,{'pyr_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
citrate,Citrate,HMDB0000094,C00158,cit,EX_cit_e,mixed,mmol/L/day,citrate,Verified against local iCHO3K production generic model; confirm units/sign before FBA,Citrate exchange,{'cit_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
acetate,Acetate,HMDB0000042,C00033,ac,EX_ac_e,secretion_positive,mmol/L/day,acetate,Verified against local iCHO3K production generic model; confirm units/sign before FBA,Acetate exchange,{'ac_e': -1},0.0,1000.0,iCHO3K_cho_prod_generic_unblocked.json
